,horizontal_difference,trial
1,19.211639404296875,vp1_52_Session1_d01_fam02_5
2,19.211639404296875,vp1_52_Session1_d01_fam02_5
0,9.276000977,vp1_53_Session1_d01_fam02_6
1,9.276000977,vp1_53_Session1_d01_fam02_6
2,9.276000977,vp1_53_Session1_d01_fam02_6
0,9.430633544921875,vp1_54_Session1_d01_fam02_7
1,9.430633544921875,vp1_54_Session1_d01_fam02_7
2,9.430633544921875,vp1_54_Session1_d01_fam02_7
0,5.957122802734375,vp1_55_Session1_d01_fam02_8
1,5.957122802734375,vp1_55_Session1_d01_fam02_8
2,5.957122802734375,vp1_55_Session1_d01_fam02_8
0,23.72918701171875,vp1_56_Session1_d01_fam02_9
1,23.72918701171875,vp1_56_Session1_d01_fam02_9
2,23.72918701171875,vp1_56_Session1_d01_fam02_9
3,40.03808594,vp1_56_Session1_d01_fam02_9
4,40.03808594,vp1_56_Session1_d01_fam02_9
5,40.03808594,vp1_56_Session1_d01_fam02_9
0,1.667602539,vp1_57_Session1_d01_fam02_10
1,1.667602539,vp1_57_Session1_d01_fam02_10
2,1.667602539,vp1_57_Session1_d01_fam02_10
0,2.276519775390625,vp1_58_Session1_d01_fam02_11
1,2.276519775390625,vp1_58_Session1_d01_fam02_11
2,2.276519775390625,vp1_58_Session1_d01_fam02_11
0,14.74890137,vp1_59_Session1_d01_fam02_12
1,14.74890137,vp1_59_Session1_d01_fam02_12
2,14.74890137,vp1_59_Session1_d01_fam02_12
0,10.984954833984375,vp1_60_Session1_d01_fam02_13
1,10.984954833984375,vp1_60_Session1_d01_fam02_13
2,10.984954833984375,vp1_60_Session1_d01_fam02_13
0,8.729400634765625,vp1_61_Session1_d01_fam02_14
1,8.729400634765625,vp1_61_Session1_d01_fam02_14
2,8.729400634765625,vp1_61_Session1_d01_fam02_14
0,65.44781494140625,vp1_62_Session1_d01_fam02_15
1,65.44781494140625,vp1_62_Session1_d01_fam02_15
2,65.44781494140625,vp1_62_Session1_d01_fam02_15
0,8.980255126953125,vp1_64_Session1_d01_fam02_17
1,8.980255126953125,vp1_64_Session1_d01_fam02_17
2,8.980255126953125,vp1_64_Session1_d01_fam02_17
0,41.82025146484375,vp1_65_Session1_d01_fam02_18
1,41.82025146484375,vp1_65_Session1_d01_fam02_18
2,41.82025146484375,vp1_65_Session1_d01_fam02_18
0,52.57568359,vp1_66_Session1_d01_fam02_19
1,52.57568359,vp1_66_Session1_d01_fam02_19
2,52.57568359,vp1_66_Session1_d01_fam02_19
0,10.14556884765625,vp1_67_Session1_d01_fam02_20
1,10.14556884765625,vp1_67_Session1_d01_fam02_20
2,10.14556884765625,vp1_67_Session1_d01_fam02_20
0,15.539337158203125,vp1_68_Session1_d01_fam02_21
1,15.539337158203125,vp1_68_Session1_d01_fam02_21
2,15.539337158203125,vp1_68_Session1_d01_fam02_21
0,25.848052978515625,vp1_69_Session1_d01_fam02_22
1,25.848052978515625,vp1_69_Session1_d01_fam02_22
2,25.848052978515625,vp1_69_Session1_d01_fam02_22
0,15.246734619140625,vp1_70_Session1_d01_fam02_23
1,15.246734619140625,vp1_70_Session1_d01_fam02_23
2,15.246734619140625,vp1_70_Session1_d01_fam02_23
0,48.72100830078125,vp1_71_Session1_d01_fam02_24
1,48.72100830078125,vp1_71_Session1_d01_fam02_24
2,48.72100830078125,vp1_71_Session1_d01_fam02_24
3,26.105804443359375,vp1_71_Session1_d01_fam02_24
4,26.105804443359375,vp1_71_Session1_d01_fam02_24
5,26.105804443359375,vp1_71_Session1_d01_fam02_24
0,18.67407227,vp1_72_Session1_d01_fam02_25
1,18.67407227,vp1_72_Session1_d01_fam02_25
2,18.67407227,vp1_72_Session1_d01_fam02_25
0,15.07458496,vp1_73_Session1_d01_fam02_26
1,15.07458496,vp1_73_Session1_d01_fam02_26
2,15.07458496,vp1_73_Session1_d01_fam02_26
0,10.668670654296875,vp1_74_Session1_d01_fam02_27
1,10.668670654296875,vp1_74_Session1_d01_fam02_27
2,10.668670654296875,vp1_74_Session1_d01_fam02_27
0,0.141967773,vp1_75_Session1_d01_fam02_28
1,0.141967773,vp1_75_Session1_d01_fam02_28
2,0.141967773,vp1_75_Session1_d01_fam02_28
0,6.856750488,vp1_77_Session1_d01_fam02_30
